40	-1933.0
81	63.0
88	-35.0
95	-40.0
135	77.0
146	-43.0
155	-35.0
163	-33.0
171	-35.0
179	-35.0
187	-32.0
196	-38.0
204	-35.0
215	-46.0
256	49.0
264	-35.0
274	-43.0
315	75.0
338	6.0
345	-38.0
386	31.0
397	-74.0
405	-35.0
415	-40.0
424	-47.0
434	-38.0
445	-47.0
456	-41.0
464	-34.0
479	-32.0
489	-37.0
501	-30.0
521	-34.0
529	-35.0
539	-39.0
547	-35.0
561	-32.0
602	43.0
634	-47.0
676	29.0
720	5.0
754	-13.0
763	-40.0
774	-43.0
816	71.0
857	12.0
866	-37.0
875	-34.0
884	-38.0
893	-38.0
935	71.0
976	75.0
1017	80.0
1059	75.0
1102	66.0
1144	67.0
1155	-58.0
1198	54.0
1241	62.0
1281	87.0
1322	73.0
1363	73.0
1407	55.0
1415	-36.0
1455	95.0
1497	75.0
1538	-9.0
1546	-35.0
1554	-33.0
1563	-39.0
1574	-42.0
1584	-38.0
1627	23.0
1670	68.0
1712	41.0
1752	61.0
1794	69.0
1838	53.0
1880	71.0
1921	69.0
1965	56.0
2006	73.0
2049	60.0
2091	27.0
2129	81.0
2168	85.0
2210	66.0
2251	72.0
2292	70.0
